Title,Summary,Start_Date,Frequency,Count,Type,Genres,Title_Card_Img
Frieren: Beyond Journey's End Season 2,Second season of Sousou no Frieren. ,01/16/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1921/154528.jpg
Hell's Paradise Season 2,Second season of Jigokuraku. ,01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1772/154456.jpg
Jujutsu Kaisen: The Culling Game Part 1,Sequel to Jujutsu Kaisen 2nd Season. ,01/09/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1127/154488.jpg
[Oshi No Ko] Season 3,"The story moves on to a new stage??half a year has passed since the release of ""POP IN 2."" Thanks to Mem-cho's hard work, B-Komachi are on the verge of their big break. Aqua continues to grow as a personality, while Akane advances on her path to becoming a skilled actress. Meanwhile, Kana has lost her usual cheerfulness. Finally, in her quest to uncover the truth behind Ai and Gorou's deaths, Ruby rises through the entertainment industry—using lies as her weapon. ",01/14/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1979/153329.jpg
Fire Force Season 3 Part 2,Second part of Enen no Shouboutai: San no Shou. ,01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1508/152472.jpg
Fate/strange Fake ,"Fate/strange Fake centers around an imperfect copy of a Grail War based on the Third Holy Grail War in Fuyuki. Following the conclusion of the third Grail War, a US-based organization with magi distinct from the London-based Mage Association, used data from Fuyuki's Grail War to plan their own ritual. Seventy years later, they used the city of Snowfield as the Sacred Land for their own Grail War. However, they were unable to successfully replicate every aspect of the ritual, resulting in it acting only as an imitation that has lost the Saber class and allowed for the summoning of strange Servants due to the blurring of the definition of a ""hero."" Rohngall and his pupil, Faldeus, have been dispatched by the Mage's Association to investigate the city and the state of the war. Faldeus, a US organization spy, has Rohngall sniped upon his arrival, despite knowing that Rohngall is a puppet. He declares that their Holy Grail War has been in development and is real, causing a commotion at the Clock Tower, and that he wishes to ""advertise"" the project to the Association. ",01/03/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1752/150192.jpg
Chained Soldier Season 2,Second season of Mato Seihei no Slave. ,01/08/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1668/148737.jpg
Sentenced to Be a Hero,"""Hero"" is the worst punishment in the world. Those convicted of heinous crimes are sentenced to become ""Heroes"" and forced to enter the mandatory military service in the war against the Demon Lords. These convicts are not even allowed to die—if killed, they will be resurrected to fight another day. Hero Xylo Forbartz, former head of the Order of the Holy Knights, leads a penal unit of deplorables fighting on the front lines. It is in these direst of circumstances that he meets Teoritta, one of the world's strongest weapons. ""When every last enemy has been defeated, you are to shower me with praise and pat my head."" In order to survive and to take revenge on those who wronged him, he makes a pact with the goddess and launches headfirst into a maelstrom of war and intrigue. ",01/03/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1062/151911.jpg
My Hero Academia: Vigilantes Season 2,Second season of Vigilante: Boku no Hero Academia Illegals. ,01/05/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1592/154049.jpg
Trigun Stargaze,"Two and a half years have passed since the Lost July incident, a catastrophe that reduced an entire city to ruins and sent shockwaves across the world. On the desert planet of No Man's Land, Vash the Stampede, a gunslinger who swore never to take a life, faces his final confrontation with his brother, Millions Knives, who seeks the complete destruction of humanity. As their fates collide, the battle that will determine the future of both mankind and the planet begins. ",01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1009/152508.jpg
